title,price,date
Steyr Mannlicher AUG SA,400 000 руб.,"8 Сентября, в 14:28"
МР-121  Лис,62 000 руб.,"8 Сентября, в 11:42"
Барс 4-1 223,80 000 руб.,"8 Сентября, в 09:55"
Weatherby mark v 223 rem,170 000 руб.,"8 Сентября, в 09:53"
"Seckin MS16 кал. 223Rem, 16""",144 900 руб.,"8 Сентября, в 09:22"
Барс  4-1,60 000 руб.,"8 Сентября, в 08:41"
"Продаю карабин Benelli MR1, калибр 223Rem",245 000 руб.,"8 Сентября, в 07:07"
Cz527 Lux 223Rem+Nikon Pr-ff 3-9x40 - 8 шт/Cz527 Exclusive Ebony Edition/Cz 557 Synth 308W,Договорная,"8 Сентября, в 06:51"
Сайга МК 223rem,40 000 руб.,"8 Сентября, в 06:02"
Blaser R8,590 000 руб.,"8 Сентября, в 03:36"
Вепрь 223,62 000 руб.,"8 Сентября, в 01:56"
Сайга МК-03 .223rem L-341мм,39 900 руб.,"7 Сентября, в 23:01"
"Вепрь 1В, ВПО-125, 223rem, 420 мм. В СПб",90 000 руб.,"7 Сентября, в 19:36"
Вепрь-223,28 000 руб.,"7 Сентября, в 18:26"
Сайга 223 REM,105 000 руб.,"7 Сентября, в 17:52"
Продаю Сайгу - МК 03 Легион,75 000 руб.,"7 Сентября, в 14:54"
Сайга - МК 223 Rem (Легион),105 000 руб.,"7 Сентября, в 11:26"
Сайга-МК исп 03 223rem,55 000 руб.,"7 Сентября, в 11:03"
Маузер М03,700 000 руб.,"7 Сентября, в 10:59"
MERKEL  SR1    223 REM,399 999 руб.,"7 Сентября, в 06:30"
Оrsis 120 223 rem,200 000 руб.,"7 Сентября, в 01:05"
магазин BLASER R8,12 999 руб.,"7 Сентября, в 00:43"
Remington 700,200 000 руб.,"6 Сентября, в 20:01"
Карабин Барс 4-1,70 000 руб.,"6 Сентября, в 13:28"
CZ 527 varmint,190 000 руб.,"6 Сентября, в 11:01"
CZ 527 FS 223 rem,150 000 руб.,"6 Сентября, в 11:01"
Cz 527,95 000 руб.,"6 Сентября, в 09:54"
"MKA 556-200S, 5.56х45, 2 магазина, плс.кейс, 20"" В НАЛЧИИ",199 900 руб.,"6 Сентября, в 09:25"
CZ 527 Varmint,100 000 руб.,"6 Сентября, в 08:22"
Вепрь - СОК-97 223 Rem,55 000 руб.,"5 Сентября, в 22:27"
Карабин Savage 11F 223Rem,100 000 руб.,"5 Сентября, в 17:51"
Адаптер складывания приклада LAW TACTICAL,82 000 руб.,"5 Сентября, в 14:48"
TR3 Gen.2 кал. 223Rem,102 900 руб.,"5 Сентября, в 14:27"
ДТК аирмастер новичок,40 000 руб.,"5 Сентября, в 11:59"
"Карабин CZ-527 Varmint, кал. 223 REM",260 000 руб.,"5 Сентября, в 11:15"
Вепрь 223 СОК 97 калибр .223 rem,48 808 руб.,"5 Сентября, в 08:37"
CZ 527 Varmint,180 000 руб.,"5 Сентября, в 07:19"
AUG Manlicher 223,210 000 руб.,"5 Сентября, в 05:42"
Steyr Mannlicher AUG-Z,250 000 руб.,"5 Сентября, в 03:57"
Лось 145,80 000 руб.,"5 Сентября, в 02:21"
Карабин СОЗ ARcan-15 кал. 223 Rem (Новый),380 000 руб.,"4 Сентября, в 16:08"
Howa-1500,155 000 руб.,"4 Сентября, в 14:23"
"Лось кал. 223Rem, 550мм,твист9,ствол хром,орех,комб.затыл.,пл. Пикатинни",110 000 руб.,"4 Сентября, в 12:54"
ADC,350 000 руб.,"4 Сентября, в 12:43"
Орсис 120,170 000 руб.,"4 Сентября, в 12:25"
«Вепрь-пионер» калибра. 223 Rem,52 500 руб.,"4 Сентября, в 12:01"
"Вепрь-Пионер, кал. 223 Rem, 2001 г.в.",51 000 руб.,"4 Сентября, в 11:38"
Карабин Steyr Mannlicher AUG-Z к.223 Rem,350 000 руб.,"4 Сентября, в 10:56"
МР-18МН 223 REM,20 000 руб.,"4 Сентября, в 10:29"
САЙГА-МК .223Rem,61 900 руб.,"4 Сентября, в 10:17"
Сайга 223,60 000 руб.,"4 Сентября, в 10:12"
CZ527 223 REM.,95 000 руб.,"4 Сентября, в 10:09"
Вепрь .223 Rem,35 000 руб.,"4 Сентября, в 06:37"
Продам комплект Remington 700+Meopta,250 000 руб.,"4 Сентября, в 05:36"
Сайга МК 223,45 000 руб.,"4 Сентября, в 04:44"
CZ-527 VARMINT,150 000 руб.,"3 Сентября, в 18:24"
NORINCO CQ-A M4 AR15,285 000 руб.,"3 Сентября, в 18:01"
Карабин Franchi Horizon 223 rem,120 000 руб.,"3 Сентября, в 17:48"
Карабин сайга 223,60 000 руб.,"3 Сентября, в 17:34"
"Карабин Heckler  & Koch MR223 16.5""",1 000 000 руб.,"3 Сентября, в 17:19"
Мр 18 223,30 000 руб.,"3 Сентября, в 17:16"
Орсис 120 кал 223rem,160 000 руб.,"3 Сентября, в 17:04"
Вепрь-пионер СОК-97,40 000 руб.,"3 Сентября, в 16:01"
ТИККА - Т3 кал. 223 Rem с прицелом Карл Цейс Duralyt 2-8*42,500 000 руб.,"3 Сентября, в 14:42"
Blaser R93,700 000 руб.,"3 Сентября, в 14:04"
Карабин МР 18 МН,50 000 руб.,"3 Сентября, в 13:57"
МР-121 Лис,35 000 руб.,"3 Сентября, в 13:38"
MAUSER M03. 223Rem/.300WM/.375H&H,990 000 руб.,"3 Сентября, в 13:14"
1В РПК,90 000 руб.,"3 Сентября, в 13:10"
Remington 700 Varmint SF 223 Rem Нержавейка Новый,300 000 руб.,"3 Сентября, в 12:15"
Лис 121,53 000 руб.,"3 Сентября, в 11:16"
Remington 700 VLS S Thumbhole,220 000 руб.,"3 Сентября, в 11:14"
Cz 527,200 000 руб.,"3 Сентября, в 10:20"
CZ-527 LUX  cal. 223 Rem.,100 000 руб.,"3 Сентября, в 08:27"
CZ 527 FS.  223 rem,60 000 руб.,"3 Сентября, в 07:58"
Cайга 223,90 000 руб.,"3 Сентября, в 07:00"
Вепрь .223 СОК-97с,75 000 руб.,"3 Сентября, в 04:50"
Schmeisser AR15,500 000 руб.,"2 Сентября, в 21:32"
Вепрь 223,45 000 руб.,"2 Сентября, в 21:22"
Sako 75 Hunter,115 000 руб.,"2 Сентября, в 17:12"
CZ 527 Lux,100 000 руб.,"2 Сентября, в 17:01"
ВПО 155-18,90 000 руб.,"2 Сентября, в 15:59"
Мр-18мн Иж-18мн .30-06 .223 12/76,50 000 руб.,"2 Сентября, в 15:57"
STEYR AUG .223Rem,350 000 руб.,"2 Сентября, в 15:13"
"Винтовка ADC Marcsman (Италия), калибр 223 Rem",799 000 руб.,"2 Сентября, в 14:49"
223 rem Сайга-МК,100 000 руб.,"2 Сентября, в 12:27"
"Запчасти АР-15 / AR-15 / АК ( цевье, газ блок , эндплейт, переключатель)",1 500 руб.,"2 Сентября, в 10:59"
Карабин Steyr Mannlicher AUG-Z A2-SA,380 000 руб.,"2 Сентября, в 05:10"
Сайга МК,60 000 руб.,"2 Сентября, в 01:35"
"Карабин AR-15 ProArms Armory Par Mk3 223Rem ствол 14""",300 000 руб.,"1 Сентября, в 16:39"
Винтовка Heckler & Koch MR223,1 450 000 руб.,"1 Сентября, в 13:24"
Вепрь ПИОНЕР 223Rem,60 500 руб.,"1 Сентября, в 11:37"
Вепрь Пионер (подарочный),150 000 руб.,"1 Сентября, в 10:48"
BENELLI MR1,250 000 руб.,"1 Сентября, в 10:00"
Вепрь-223,52 000 руб.,"1 Сентября, в 09:33"
"Карабин Baikal-121 Лис 223Rem 5,56х45 L-600 орех Baikal НОВОЕ",45 980 руб.,"1 Сентября, в 08:48"
Сайга-МК. 223Rem,80 000 руб.,"1 Сентября, в 05:20"
TIKKA T3 223 rem,40 000 руб.,"31 Августа, в 19:29"
Продам  Weatherby VGD2 Synthetic в калибре 223Rem,150 000 руб.,"31 Августа, в 18:11"
CZ 527,130 000 руб.,"31 Августа, в 17:59"
"Вайраух, калибр 222",150 000 руб.,"31 Августа, в 17:01"
HOVA 1500,160 000 руб.,"31 Августа, в 14:01"
Steyr-Mannlicher AUG,219 000 руб.,"31 Августа, в 10:00"
Сайга МК 223rem,60 000 руб.,"30 Августа, в 11:25"
CZ 527 223rem,125 000 руб.,"30 Августа, в 08:25"
"Карабин NORINCO CQ-A, калибр 223 Rem",200 000 руб.,"30 Августа, в 06:32"
Kurbatov Arms R-715,150 000 руб.,"29 Августа, в 23:39"
ОРСИС/ORSIS 140 нерж. калибр 223 Rem. г. Тула,110 000 руб.,"29 Августа, в 20:34"
Remington 700. Кал. 223.,165 000 руб.,"29 Августа, в 18:37"
ВПО-125 «Вепрь-1В»,100 000 руб.,"29 Августа, в 15:52"
Вепрь 223 Супер,50 000 руб.,"29 Августа, в 14:36"
Комплекс карабин тика Tikka T-3x lait,985 000 руб.,"29 Августа, в 11:12"
Blaser R8 Professional,1 150 000 руб.,"29 Августа, в 10:46"
Дополнительный ствол 223 кал к Blaser R 93 - быстросьем,200 000 руб.,"29 Августа, в 09:16"
Blaser R93 .223 Rem; .30-06; .300 Win. Mag; 2 ложе; Прицел Kahles Helia CL 3-10×50,1 000 000 руб.,"29 Августа, в 08:53"
"Карабин МР-18МН 5,56х45 223Rem L-600 дерево Комиссия 891282574",32 999 руб.,"29 Августа, в 07:08"
Вепрь Пионер СОК-97Р,45 000 руб.,"28 Августа, в 22:27"
NORINCO CQ-А 223Rem,190 000 руб.,"28 Августа, в 20:51"
Барс 4-1 223 Rem,34 000 руб.,"28 Августа, в 20:13"
МР-18МН к.223rem.,15 000 руб.,"28 Августа, в 19:09"
Вепрь-Пионер,55 000 руб.,"28 Августа, в 18:38"
Форт Ар-15-03 (AR-15),135 000 руб.,"28 Августа, в 15:03"
Блазер R93,850 000 руб.,"28 Августа, в 14:27"
Remington 700 XCR Compact Tactical 223 REM 1in9 TWIST. ствол 20* нержавейка,179 000 руб.,"27 Августа, в 21:14"
Сайга МК 223Rem,40 000 руб.,"27 Августа, в 20:55"
Ремингтон 700,125 000 руб.,"27 Августа, в 15:38"
Sako XS,200 000 руб.,"27 Августа, в 12:54"
Прицел дневной Ш&Б.,175 000 руб.,"27 Августа, в 11:42"
Merkel SR1,220 000 руб.,"27 Августа, в 10:21"
Рэмингтон 700 LTR Police. 223,150 000 руб.,"26 Августа, в 19:40"
АДАР 2-15,111 111 руб.,"26 Августа, в 17:53"
Карабин Orsis 140,130 000 руб.,"26 Августа, в 17:42"
"Нарезное оружие МР-18МН кал.223Rem, смен.ствол 9х19, пластик, 191807048",50 700 руб.,"26 Августа, в 17:36"
Карабин Барс,75 000 руб.,"26 Августа, в 14:08"
Blaser r93 223 rem,150 000 руб.,"26 Августа, в 13:36"
Blaser r8,1 200 000 руб.,"26 Августа, в 13:29"
Карабин Steyr Mannlicher AUG-Z к.223 Rem,400 000 руб.,"26 Августа, в 12:56"
Доп ствол,250 000 руб.,"26 Августа, в 10:52"
AR15 Форт,Договорная,"25 Августа, в 14:04"
"Карабин ""ADAR 2-15"", калибр .223 Rem",270 000 руб.,"25 Августа, в 12:53"
"Smith&Wesson M&P 15 Sport II (16"")",420 000 руб.,"25 Августа, в 12:51"
Карабин SWC Bold 223Rem 370мм,270 000 руб.,"25 Августа, в 12:09"
ВЕПРЬ 223,65 000 руб.,"25 Августа, в 11:14"
CZ 527,110 000 руб.,"25 Августа, в 09:27"
Сайга-М3 к.223 rem,39 000 руб.,"25 Августа, в 09:08"
Heckler & Koch SL8-5,300 000 руб.,"25 Августа, в 07:34"
Cz527 Lux223 rem,120 000 руб.,"25 Августа, в 07:16"
"ADC Tactical H (223 Rem) Ствол 18"" AR-15",440 000 руб.,"24 Августа, в 15:00"
"ADC Tactical H (223 Rem) Ствол 16"" AR-15",390 000 руб.,"24 Августа, в 14:59"
Вепрь Пионер 223Rem,50 000 руб.,"24 Августа, в 13:29"
"Heckler&Koch SL8, 223Rem,",350 000 руб.,"24 Августа, в 12:09"
"САЙГА-МК  223REM, L 415",59 900 руб.,"24 Августа, в 09:41"
Mauser M03 223 rem.,180 000 руб.,"24 Августа, в 05:05"
Norinco CQ-A,165 000 руб.,"23 Августа, в 14:31"
"Вепрь пионер, калибр 5.56х45 мм(223ren)",30 000 руб.,"23 Августа, в 14:01"
CZ 527 FS   223 Rem,120 000 руб.,"23 Августа, в 09:03"
Вепрь-223,26 000 руб.,"23 Августа, в 07:20"
Steyr Aug .223Rem,360 000 руб.,"23 Августа, в 06:39"
"МР-121 ""Лис"" к. 223 rem",31 500 руб.,"22 Августа, в 20:23"
МР121 ЛИС 223rem,40 000 руб.,"22 Августа, в 19:26"
Карабин CZ-527 кал.223 rem,160 000 руб.,"22 Августа, в 17:23"
"Карабин MANNLICHER AUG, КАЛ. 223 REM",500 000 руб.,"22 Августа, в 09:54"
АКСУ 223 rem,200 000 руб.,"22 Августа, в 09:29"
Лось 145,75 000 руб.,"22 Августа, в 08:08"
TR3 gen.2; 223REM; 415 мм,95 000 руб.,"21 Августа, в 22:18"
Sako 75,240 000 руб.,"21 Августа, в 21:52"
Вепрь-1В ВПО-125 .223rem,45 000 руб.,"21 Августа, в 19:09"
Steyr Mannlicher AUG A2,310 000 руб.,"21 Августа, в 14:38"
AR-15  Форт 04,215 000 руб.,"21 Августа, в 10:16"
ВПО Молот 155-18,99 000 руб.,"21 Августа, в 00:08"
Remington 700 VTR 223 Rem.,240 000 руб.,"20 Августа, в 22:13"
Вепрь 223  кал.223Rem.,55 000 руб.,"20 Августа, в 21:32"
Сайга 223,62 000 руб.,"20 Августа, в 20:10"
ИЖ18-МН 223rem,47 500 руб.,"20 Августа, в 14:52"
MP18  223rem,25 000 руб.,"20 Августа, в 14:19"
Steyr aug-z  223rem,450 000 руб.,"20 Августа, в 10:06"
Вепрь 223,41 500 руб.,"19 Августа, в 19:17"
Карабин Норинка cq-a 223,170 000 руб.,"19 Августа, в 14:44"
Sabre Defense XR-15,330 000 руб.,"19 Августа, в 08:48"
CZ 527 lux 223 rem.,65 000 руб.,"19 Августа, в 07:28"
Лось-145,85 000 руб.,"19 Августа, в 05:36"
Orsis-120 к.223 rem,125 000 руб.,"18 Августа, в 22:22"
FN SCAR-16S,2 300 000 руб.,"18 Августа, в 17:47"
Карабин ЧЗ – 527,90 000 руб.,"18 Августа, в 16:37"
Blaser R93,1 050 000 руб.,"18 Августа, в 13:35"
Барс 4.1 233,55 000 руб.,"18 Августа, в 12:23"
CZ 527 Lux,130 000 руб.,"18 Августа, в 11:58"
ЧЭЗЭТ,110 000 руб.,"18 Августа, в 10:54"
"Лось 145, 223 ,прицел пульсар.",175 000 руб.,"18 Августа, в 09:53"
"Tikka T3 Hunter, 223 rem.",300 000 руб.,"17 Августа, в 17:52"
Продам CZ 527,350 000 руб.,"17 Августа, в 13:50"
Сайга мк,40 000 руб.,"16 Августа, в 08:37"
AR-15 RA-15 РОК 223 Rem.,300 000 руб.,"15 Августа, в 15:34"
Benelli MR1 223 Rem,250 000 руб.,"15 Августа, в 12:13"
CZ 527 LUX кал. 223 Рem,100 000 руб.,"15 Августа, в 10:01"
Merkel SR1,170 000 руб.,"14 Августа, в 11:22"
Tikka T3 lite кал. 223 rem,180 000 руб.,"14 Августа, в 08:14"
иж 18мн,20 000 руб.,"13 Августа, в 17:39"
Steyr Mannlicher Aug-z,430 000 руб.,"13 Августа, в 13:57"
Вепрь Пионер 223,65 000 руб.,"13 Августа, в 12:54"
TIKKA T3 LITE 223 REM,180 000 руб.,"13 Августа, в 11:25"
Blaser r8,4 000 000 руб.,"13 Августа, в 00:52"
Haenel Jaeger -10,125 000 руб.,"12 Августа, в 22:06"
Вепрь Молот AR-15,280 000 руб.,"12 Августа, в 18:08"
Вепрь супер,55 000 руб.,"12 Августа, в 17:45"
NORINCO CQ-A,250 000 руб.,"12 Августа, в 14:59"
ВПО 165 01,150 000 руб.,"11 Августа, в 19:15"
ORSIS SE SR Hunter 223 Rem,235 000 руб.,"11 Августа, в 19:13"
Веперь 223 Rem,75 000 руб.,"11 Августа, в 18:49"
CZ 527 кал. 223.REM,80 000 руб.,"11 Августа, в 16:13"
Вепрь СОК-97 223кб,50 000 руб.,"11 Августа, в 11:29"
Сайга МК 223,95 000 руб.,"11 Августа, в 11:06"
Зауэр 202,300 000 руб.,"11 Августа, в 09:31"
CZ-527 Lux,85 000 руб.,"10 Августа, в 17:27"
CZ 527 Lux 223 Rem,120 000 руб.,"10 Августа, в 16:43"
МР-18МН 233Rem,19 000 руб.,"9 Августа, в 22:14"
"Steyr Mannlicher AUG SA кб. 223 (5,56X45)",450 000 руб.,"9 Августа, в 20:19"
Вепрь-223,55 000 руб.,"9 Августа, в 11:20"
Вепрь-Пионер 223,70 000 руб.,"8 Августа, в 15:34"
