position,title,price,date,link,location
645,Tikka T3 RH Battue 308 win,350 000 руб.,"11 Сентября, в 17:20",https://gunsbroker.ru/hunting/769696_tikka-t3-rh-battue-308-win.html,"Ставропольский край, Ставрополь"
646,Sabatti ST-18 308WIN,365 000 руб.,"11 Сентября, в 16:46",https://gunsbroker.ru/hunting/892043_sabatti-st-18-308win.html,"Ростовская область, Орловский район"
647,Ремингтон 750 вуд 308вин,90 000 руб.,"11 Сентября, в 15:25",https://gunsbroker.ru/hunting/743771_remington-750-vud-308vin.html,"Свердловская область, Екатеринбург"
648,Franchi Horizon 308win,30 000 руб.,"11 Сентября, в 15:06",https://gunsbroker.ru/hunting/892008_franchi-horizon-308win.html,"Кабардино-Балкарская Республика, Нальчик"
649,mauser m98 308Win Gerhard Fuchs,3 000 000 руб.,"11 Сентября, в 14:46",https://gunsbroker.ru/hunting/727744_mauser-m98-308win-gerhard-fuchs.html,Санкт-Петербург
650,Sabatti ST18 калибр 308 win,269 000 руб.,"11 Сентября, в 14:36",https://gunsbroker.ru/hunting/794837_sabatti-st18-kalibr-308-win.html,"Республика Башкортостан, Уфа"
651,Тикка Т3 тактика,300 000 руб.,"11 Сентября, в 14:30",https://gunsbroker.ru/hunting/671420_tikka-t3-taktika.html,"Москва, Москва"
652,Remington 750 WOODSMASTER кал. 308 Win.,130 000 руб.,"11 Сентября, в 13:02",https://gunsbroker.ru/hunting/876295_remington-750-woodsmaster-kal-308-win.html,"Самарская область, Тольятти"
653,"Карабин охотничий самозарядный ""САЙГА-308-1"" исп.46 ПЛС,ПР/СКЛ ПЛС,ДТ СК-308 КОМ46 П кал.3",84 400 руб.,"11 Сентября, в 10:46",https://gunsbroker.ru/hunting/875580_karabin-ohotnichiy-samozaryadnyy-sayga-308-1-isp46-plsprskl-plsdt-sk-308-kom46-p-kal3.html,Москва
654,Saco 85/S 308win,480 000 руб.,"11 Сентября, в 09:44",https://gunsbroker.ru/hunting/891902_saco-85s-308win.html,"Республика Бурятия, Улан-Удэ"
655,ata arms turqua gen 2 308WIN,125 000 руб.,"11 Сентября, в 07:31",https://gunsbroker.ru/hunting/835034_ata-arms-turkua-gen-2.html,"Москва, Москва"
656,ATA ARMS ALR FS 308 win,220 000 руб.,"10 Сентября, в 20:59",https://gunsbroker.ru/hunting/891814_ata-arms-alr-fs-308-win.html,"Рязанская область, Рязань"
657,Remington 700XCR TACTICAL,430 000 руб.,"10 Сентября, в 14:59",https://gunsbroker.ru/hunting/680030_remington-700xcr-tactical.html,"Алтайский край, Бийск"
658,Сайга 308 исп 046 336мм НОВАЯ,76 500 руб.,"10 Сентября, в 12:04",https://gunsbroker.ru/hunting/891655_sayga-308-isp-046-336mm-novaya.html,"Воронежская область, Воронеж"
659,Карабин лось 7-1,75 000 руб.,"10 Сентября, в 11:50",https://gunsbroker.ru/hunting/891651_karabin-los-7-1.html,"Тульская область, Белёв"
660,"Карабин охотничий самозарядный «MR1» под патрон .308Win исп. 01, ств. 410",595 000 руб.,"10 Сентября, в 10:43",https://gunsbroker.ru/hunting/875577_karabin-ohotnichiy-samozaryadnyy-mr1-pod-patron-308win-isp-01-stv-410.html,Москва
661,Remington 700 VLS,160 000 руб.,"10 Сентября, в 05:54",https://gunsbroker.ru/hunting/891560_remington-700-vls.html,"Новосибирская область, г Новосибирск, Новосибирская обл."
662,"Hatsan Escort ERX кал.308 L510(без целика и мушки, планка Пикатини,2 магазина 5 патр.",116 000 руб.,"9 Сентября, в 13:43",https://gunsbroker.ru/hunting/891355_hatsan-escort-erx-kal308-l510bez-celika-i-mushki-planka-pikatini2-magazina-5-patr.html,"Карачаево-Черкесская Республика, Черкесск"
663,Benelli argo e 308 win,190 000 руб.,"9 Сентября, в 09:24",https://gunsbroker.ru/hunting/891265_benelli-argo-e-308-win.html,"Кемеровская область, Осинники"
664,Карабин Browning Bar 2,250 000 руб.,"9 Сентября, в 09:22",https://gunsbroker.ru/hunting/841260_karabin-browning-bar-2.html,"Приморский край, Владивосток"
665,Sauer 202 Stutzen Elegance,600 000 руб.,"9 Сентября, в 06:42",https://gunsbroker.ru/hunting/861045_sauer-202-stutzen-elegance.html,"ХМАО - Югра, Урай"
666,Лось-145,151 000 руб.,"8 Сентября, в 19:23",https://gunsbroker.ru/hunting/891151_los-145.html,"Омская область, Крутинка"
667,Winchester SXR 2 Composite 308win Stata Camo fluted 470,369 900 руб.,"8 Сентября, в 12:33",https://gunsbroker.ru/hunting/891016_winchester-sxr-2-composite-308win-stata-camo-fluted-470.html,Нижегородская область
668,"Продам HS-Precision Pro Series 2000 SA, 308 WIN",1 000 000 руб.,"8 Сентября, в 11:34",https://gunsbroker.ru/hunting/890990_prodam-hs-precision-pro-series-2000-sa-308-win.html,Москва
669,Вепрь-Супер (СОК-95М),100 000 руб.,"8 Сентября, в 11:31",https://gunsbroker.ru/hunting/890988_vepr-super-sok-95m.html,"Ростовская область, Шахты"
